Name,SecondaryName,Year,Single,Url,GroupID,Origin,USRegion,RegionID,Decade
Queen Latifah,,1988,"""Wrath of My Madness""",https://www.youtube.com/watch?v=fldVvxZfwCg,1,"Newark, NJ",East Coast,15,1980
Neneh Cherry,,1988,"""Buffalo Stance""",https://www.youtube.com/watch?v=JWsRz3TJDEY,2,"London, England",Outside US,1,1980
Monie Love,Juss Bad,1988,"""Free Style / Proud"" with Jus Bad",https://www.youtube.com/watch?v=YjDDFa1PgqY,3,"London, England",Outside US,2,1980
Michie Mee,,1988,"""Elements of Style""",https://www.youtube.com/watch?v=bwlHRSeeEbw,4,"Toronto, Canada
",Outside US,3,1980
MC Trouble,,1988,"""(I Wanna) Make You Mine""",https://www.youtube.com/watch?v=1LK8EVRNXNE,5,"Los Angeles, CA
",West Coast,2,1980
Oaktown's 3.5.7,,1988,"""Juicy Gotcha Krazy""",https://www.youtube.com/watch?v=EFaXqgv6R6w,6,"Oakland, CA",West Coast,3,1980
Ms. Melodie,(Boogie Down Productions),1989,"""Self Destruction"" by Stop the Violence Movement",https://www.youtube.com/watch?v=gTsIpZ_Si3A,1,"Brooklyn, NY
",East Coast,16,1980
Smiley,,1989,"""But I'm Not Friendly""",https://www.youtube.com/watch?v=T4qAqlPUi5o,2,"Detroit, MI",Mid West,1,1980
"Sundance
",,1989,"""Git On Up"" by Fast Eddie",https://www.youtube.com/watch?v=xHQwfrfCjNw,3,"Chicago, IL",Mid West,2,1980
Ya Kid K,Technotronic,1989,"""Pump Up The Jam""",https://www.youtube.com/watch?v=9EcjWd-O4jI,4,"Chicago, IL",Mid West,3,1980
Betty Boo,,1989,"""Hey DJ / I Can't Dance (To That Music You're Playing)""",https://www.youtube.com/watch?v=FGRRBHER9X8,5,United Kingdom,Outside US,4,1980
MC Choice,,1989,"""I Need Some P****"" by Willie Dee (explicit)",https://www.youtube.com/watch?v=CjJXK8oZz9Y,6,"Houston, TX",South,3,1980
Nikki D,,1989,"""My Love Is So Raw"" with Alyson Williams",https://www.youtube.com/watch?v=ZOdnIAhU-rw,7,"Los Angeles, CA
",West Coast,4,1980
Isis ,"(X Clan), Lin Que",1990,"""Rebel Soul""",https://www.youtube.com/watch?v=XIAOT_QfkBI,1,"Queens, NY",East Coast,17,1990
Dimples D,,1990,"""Sucker DJ""",https://www.youtube.com/watch?v=itmTgYrqxzk,2,"New York, NY",East Coast,18,1990
Q-Tee,,1990,"""Filthy"" by Saint Etienne",https://www.youtube.com/watch?v=68d_wfuXcX4,3,United Kingdom,Outside US,5,1990
Yo-Yo,,1990,"""Stompin' To The 90s""",https://www.youtube.com/watch?v=Bw1GxVRGFy8,4,"Los Angeles, CA
",West Coast,5,1990
MC Smooth,,1990,"""Smooth & Legit""",https://www.youtube.com/watch?v=w2iOG8Vchb4,5,"Los Angeles, CA
",West Coast,6,1990
Tairrie B,,1990,"""Murder She Wrote""",https://www.youtube.com/watch?v=yG45At8jhd8,6,"Los Angeles, CA",West Coast,7,1990
Overweight Pooch,,1991,"""I Like It"" with CeCe Peniston
",https://www.youtube.com/watch?v=KjQOaEXAthk,1,"Phoenix, AZ",South,4,1990
Lady of Rage,,1991,"""Bring Em Home Safely"" by Chubb Rock",https://www.youtube.com/watch?v=O-ObmDSua1g,2,"Los Angeles, CA",West Coast,8,1990
Sister Souljah,,1992,"""The Hate That Hate Produced""",https://www.youtube.com/watch?v=neNboHZ3paQ,1,"Bronx, NY",East Coast,19,1990
Left Eye,Lisa Lopes,1992,"""Ain't 2 Proud 2 Beg""",https://www.youtube.com/watch?v=XmH4_pr6mH0,2,"Atlanta, GA",South,5,1990
Mia X,,1992,"""Da Payback""",https://www.youtube.com/watch?v=iGwuKuR-FH4,3,"New Orleans, LA",South,6,1990
Suga-T,The Click,1992,Down and Dirty',https://www.youtube.com/watch?v=P14KN4gGp4s,4,"Vallejo, CA",West Coast,9,1990
Me'shell Ndegeocello,,1993,"""If That's Your Boyfriend (He Wasn't Last Night)""",https://www.youtube.com/watch?v=UpdzEpGIqtY,1,Washington D.C.,East Coast,20,1990
Boss,Bo$$,1993,"""Deeper""",https://www.youtube.com/watch?v=yYjwGXoXI8A,2,"Detroit, MI",Mid West,4,1990
Missy Elliott,,1993," ""That's What Little Girls Are Made Of"" with Raven Symone",https://www.youtube.com/watch?v=tJg3G32tCdQ,3,"Richmond, VA",South,7,1990
Gripsta,Egypt,1993,"""Funk Gripsta"" on Ice T's 'Home Invasion'",https://www.youtube.com/watch?v=6Ta29dxwm3k,4,"Oakland, CA
",West Coast,10,1990
The Conscious Daughters,,1993,"""Something To Ride To (Fonky Expedition)""",https://www.youtube.com/watch?v=57mCBzaxKOk,5,"Oakland, CA
",West Coast,11,1990
Lauryn Hill,The Fugees,1994,"""Nappy Heads""",https://www.youtube.com/watch?v=s8sNnNRhQ2g,1,"East Orange, NJ",East Coast,21,1990
Bahamadia,,1994,"""Total Wreck""",https://www.youtube.com/watch?v=7AKfHDTW7nM,2,"Philadelphia, PA",East Coast,22,1990
Da Brat,,1994,"""Funkdafied""",https://www.youtube.com/watch?v=k9YikG3cRV8,3,"Atlanta, GA",South,8,1990
Marvaless,,1994,"""Ghetto Blues""",https://www.youtube.com/watch?v=kYIMOihkiGw,4,"Sacramento, CA",West Coast,12,1990
Lil Kim,Junior M.A.F.I.A.,1995,"""Player's Anthem""",https://www.youtube.com/watch?v=hJW1h5U6SxM,1,"Brooklyn, NY",East Coast,23,1990
Passion,,1995,"""Move On""",https://www.youtube.com/watch?v=O-AwZWczSzA,2,"Detroit, MI",Mid West,5,1990
Ivy Queen,The Noise,1995,"""Somos Raperos Pero No Delincuentes"" (We are rappers, not criminals)",https://www.youtube.com/watch?v=jFRsjFyOulI,3,Puerto Rico,Puerto Rico,1,1990
Gangasta Boo,,1995,"""I Thought You Knew""",https://www.youtube.com/watch?v=rRC8hxytWIs,4,"Memphis, TN",South,9,1990
La Chat,,1995,"""Mystic Stylez"" by Three 6 Mafia",https://www.youtube.com/watch?v=E00IhxUsK3k,5,"Memphis, TN",South,10,1990
Medusa,,1995,"""Kings & Queens"" by I Smooth 7",https://www.youtube.com/watch?v=eGgix5EwbTY,6,"Los Angeles, CA
",West Coast,13,1990
Nonchalant,,1996,"""5 O'Clock""",https://www.youtube.com/watch?v=BQy1knJmGXg,1,Washington D.C.,East Coast,24,1990
Foxy Brown,,1996,"""Touch Me Tease Me"" by Case, Nutty Professor soundtrack",https://www.youtube.com/watch?v=-cNu5k6KTmg,2,"Brooklyn, NY",East Coast,25,1990
Queen Pen,,1996,"""No Diggity"" with Blackstreet",https://www.youtube.com/watch?v=3KL9mRus19o,3,"Brooklyn, NY",East Coast,26,1990
Jean Grae,,1996,"""Negro League Baseball""",https://www.youtube.com/watch?v=CO9eZVaj7GA,4,"Brooklyn, NY",East Coast,27,1990
Heather B,,1996,"""All Glocks Down""",https://www.youtube.com/watch?v=eeevK4W4v5c,5,"Jersey City, NJ
",East Coast,28,1990
Mo Thugs,Il Tru,1996,"""Ghetto Bluez""",https://www.youtube.com/watch?v=f63D5lNKCUE,6,"Cleveland, OH",Mid West,6,1990
Magnolia Shorty,,1996,"""Monkey on Tha D***""",https://www.youtube.com/watch?v=YR7VbTbeIzI,7,"New Orleans, LA",South,11,1990
Apani B Fly,,1997,"""Estragen""",https://www.youtube.com/watch?v=TDc-QaS3XCw,1,"Queens, NY",East Coast,29,1990
Angie Martinez,,1997,"""Heartbeat""",https://www.youtube.com/watch?v=6prqQU0ajCg,2,"Brooklyn, NY
",East Coast,30,1990
