Name,SecondaryName,Year,Single,Url,GroupID
Amil,,1998,"""Can I Get A ..."" with Jay-Z",https://www.youtube.com/watch?v=MUN9giYJhew,3
Trina,,1998,"""Nann N****"" (Trick Daddy)",https://www.youtube.com/watch?v=Es0P1Xpb6Gc,4
Eekwol,,1998,,,5
Free,,1998,"""Patriots"" by Canibus",https://www.youtube.com/watch?v=68lKj8W-4Ro,6
Mocha,,1998,"""Hit 'Em Wit Da Hee (Remix)""",https://www.youtube.com/watch?v=vklBeJNh5Eg,7
Jamie Sommers,,1998,"""Bobby Did It (Spanish Fly)"" by Bobby Digital / RZA
",https://www.youtube.com/watch?v=H42DcWVhhcU,8
Sylk-E. Fyne,,1998,"""Romeo & Juliet""",https://www.youtube.com/watch?v=8t86Gsq1wWM,9
Rah Digga,,1999,"""Imperial""",https://www.youtube.com/watch?v=0KdV6t78lHE,1
Natina Reed,Blaque,1999,"""808""",https://www.youtube.com/watch?v=AmEO4Qp2mFw,2
Rha Goddess,,1999,"""My Pen""",https://www.youtube.com/watch?v=PXgF08St3f4,3
Katey Red,,1999,"""Where da melph at""",https://www.youtube.com/watch?v=o8ZeYslcGNg,4
Cha Cha,,1999,"""New Millennium (What Cha Wanna Do)""",https://www.youtube.com/watch?v=mXgGWAp0KBo,5
Lady Luck,,1999,Symphony 2000 with EPMD,https://www.youtube.com/watch?v=xp09snLms5E,6
Infamous Sydnicate,Shawna,1999,"""Here I Go""",https://www.youtube.com/watch?v=qhDwULY_a9U,7
Solè,,1999,"""Who Dat"" by J.T. Money",https://www.youtube.com/watch?v=5X0uSltBHhs,8
Kiely Williams,3LW,2000,"""No More""",https://www.youtube.com/watch?v=drvS9w-lTMc,1
Remy Ma,Mae West / May Day,2000,"""Ms. Martin"" on 'Yeeeah Baby' by Big Pun",https://www.youtube.com/watch?v=LYWHClvN_hE,2
Lady May,,2000,"""Shysty Broads"" by The Madd Rapper",https://www.youtube.com/watch?v=Jg6AlwqdqOw,3
Rasheeda,,2001,"""Do It""",https://www.youtube.com/watch?v=YYwMrbeEx_k,1
Sarai,,2001,"""Same Ol' Same Ol'"" by PYT",https://www.youtube.com/watch?v=h1JfMvIgVog,2
Lil Brianna,,2002,"""Kandi"" by Trina",https://www.youtube.com/watch?v=F7tWcHgqttw,1
Psalm One,,2002,"""Spitting Vintage""",https://www.youtube.com/watch?v=Wu3irWgWN4Q,2
Khia,,2002,"""My Neck, My Back""",https://www.youtube.com/watch?v=rDJu7r6OUvk,3
Ms Dynamite,,2002,"""It Takes More""",https://www.youtube.com/watch?v=GSQHfChUqZY,4
Ms. Jade,,2002,"""Big Head""",https://www.youtube.com/watch?v=Nb4m6H90OzM,5
M.I.A.,,2003,"""Galang""",https://www.youtube.com/watch?v=yRvWQrGurkQ,1
Jackie-O,,2003,"""Nookie""",https://www.youtube.com/watch?v=7lntMnFln88,2
K-Mil,,2003,"""Quien Tiene Mas Flow""",https://www.youtube.com/watch?v=evWnvYSUf4Y,3
Diamond,Crime Mob,2004,"""Knuck If You Buck""",https://www.youtube.com/watch?v=TC1oURSaYoQ,1
Princess,Crime Mob,2004,"""Knuck If You Buck""",https://www.youtube.com/watch?v=TC1oURSaYoQ,2
Estelle,,2004,"""Dance Bitch""",https://www.youtube.com/watch?v=e5Oea39zDRI,3
K-Swift,,2004,"""Slide to the Left""",https://www.youtube.com/watch?v=BWpbV-DrI_0,4
K.Flay,,2004,"""Suburban Rap Queen""",https://www.youtube.com/watch?v=c9qaJhj5ZdM,5
Lady Sovereign,,2005,"""The Battle""",https://www.youtube.com/watch?v=IiBMzoXsHcc,1
Kanary Diamonds,,2005,"""By the Bar"" by Mack 10",https://www.youtube.com/watch?v=aZdq2Ld_ngs,2
Amanda Blank,,2005,"""Bump"" by Spank Rock",https://www.youtube.com/watch?v=4gdGJBYoaIY,3
Audra The Rapper,,2005,"""I Got Yo Weave""",,4
Dessa / Doomtree,,2005,,,5
Empire ISIS,,2005,,,6
Heather Hunter,,2005,"""So Serious""",,7
Yo Majesty,Shunda K,2006,,,1
Rye Rye,,2006,"""Shake It To The Ground""",,2
Ak'Sent,,2006,"""Zingy""",,3
Georgia Anne Muldrow,,2006,"""Patience""",,4
Lega-C,,2006,"most popular for ""White Girl Raps Fast"" 2011",,5
Tiffany Foxx,,2006,"""Shake That"" by Snoop Dogg",,6
Young B,,2006,"""Chicken Noodle Soup""",,7
Kellee Maize,,2007,"""Age of Feminine""",,1
Mélange Lavonne,,2007,"""Gay Bash""",,2
Lil Mama,,2007,"""Girlfriend"" (Avril Lavigne, remix)",,3
Nicki Minaj,,2007,"Playtime Is Over' (mixtape)
'Sucka Free' (mixtape)",,4
Prima J,,2007,"""Rockstar""",,5
3D Na'Tee,,2007,"Mixtape: 3's Company Vol.1: The Rapper, The Hustler, the Diva
",,6
Felicia Pearson,,2007,"""It's A Stick Up"" by Tony Yayo",,7
Feloni,,2007,"""A Woman's Revenge"" ",,8
